id,type,name,category,sponsored,availability,rent,price,modified,created,address,latitude,longitude,size,full_name,keywords,reduced
59556,PROPERTY,Unit A,RW,false,To Let,,,2017-02-13T07:58:50,2014-08-07T10:50:48,"Wolverhampton Road,, Oldbury | B69 2BD",52.4944878,-2.0215402,19375,"Unit A, Oldbury Retail Park","wolverhampton road,, oldbury | b69 2bd,unit a, oldbury retail park,"
59557,PROPERTY,Unit B,RW,false,To Let,,,2017-02-13T07:58:50,2014-08-07T10:51:08,"Wolverhampton Road,, Oldbury | B69 2BD",52.4944878,-2.0215402,8611,"Unit B, Oldbury Retail Park","wolverhampton road,, oldbury | b69 2bd,unit b, oldbury retail park,"
61276,PROPERTY,Unit 209,SC,true,To Let,45000,,2021-03-09T15:31:50,2015-01-08T15:43:13,"210a Parade, Sutton Coldfield | B72 1PA",52.5621986,-1.8249,,"Unit 209, Gracechurch Centre","210a parade, sutton coldfield | b72 1pa,unit 209, gracechurch centre,"
62926,PROPERTY,3,SC,false,To Let,,,2017-05-29T01:20:03,2015-04-10T10:17:22,"New Street, Birmingham | B2 5AE",52.4793549,-1.898124,7154,"3, Caxtongate","new street, birmingham | b2 5ae,3, caxtongate,"
63111,PROPERTY,Unit 35-37,SC,false,Under Offer,,,2017-02-13T07:59:21,2015-09-28T10:20:49,"Lower Parade, Sutton Coldfield | B72 1XX",52.5629005,-1.8229001,6882,"Unit 35-37, The Red Rose Centre","lower parade, sutton coldfield | b72 1xx,unit 35-37, the red rose centre,"
63237,PROPERTY,Unit 16,SC,false,To Let,,,2019-04-10T10:11:54,2015-04-25T18:12:45,"Broadway Plaza, Birmingham | B16 8LP",52.4734993,-1.9217,10000,"Unit 16, Broadway Plaza","broadway plaza, birmingham | b16 8lp,unit 16, broadway plaza,"
63964,PROPERTY,Unit 1,RW,false,To Let,,,2020-11-23T15:32:02,2016-08-10T14:27:29,"Fountain Lane, Oldbury | B69 3BH",52.5079384,-2.0158939,12500,"Unit 1, Fountain Retail Park","fountain lane, oldbury | b69 3bh,unit 1, fountain retail park,"
63965,PROPERTY,Unit 2,RW,false,To Let,,,2020-11-23T15:32:02,2016-08-10T14:28:25,"Fountain Lane, Oldbury | B69 3BH",52.5079384,-2.0158939,10000,"Unit 2, Fountain Retail Park","fountain lane, oldbury | b69 3bh,unit 2, fountain retail park,"
63966,PROPERTY,Unit 3,RW,false,To Let,,,2020-11-23T15:32:02,2016-08-10T14:29:21,"Fountain Lane, Oldbury | B69 3BH",52.5079384,-2.0158939,12500,"Unit 3, Fountain Retail Park","fountain lane, oldbury | b69 3bh,unit 3, fountain retail park,"
63967,PROPERTY,Unit 4,RW,false,To Let,,,2020-11-23T15:32:02,2016-08-10T14:29:50,"Fountain Lane, Oldbury | B69 3BH",52.5079384,-2.0158939,9500,"Unit 4, Fountain Retail Park","fountain lane, oldbury | b69 3bh,unit 4, fountain retail park,"
